symbol,date,price
S&P 500,Jan 2005,1394.46
S&P 500,Feb 2005,1366.42
S&P 500,Mar 2005,1498.58
S&P 500,Apr 2005,1452.43
S&P 500,May 2005,1420.6
S&P 500,Jun 2005,1454.6
S&P 500,Jul 2005,1430.83
S&P 500,Aug 2005,1517.68
S&P 500,Sep 2005,1436.51
S&P 500,Oct 2005,1429.4
S&P 500,Nov 2005,1314.95
S&P 500,Dec 2005,1320.28
S&P 500,Jan 2006,1366.01
S&P 500,Feb 2006,1239.94
S&P 500,Mar 2006,1160.33
S&P 500,Apr 2006,1249.46
S&P 500,May 2006,1255.82
S&P 500,Jun 2006,1224.38
S&P 500,Jul 2006,1211.23
S&P 500,Aug 2006,1133.58
S&P 500,Sep 2006,1040.94
S&P 500,Oct 2006,1059.78
S&P 500,Nov 2006,1139.45
S&P 500,Dec 2006,1148.08
S&P 500,Jan 2007,1130.2
S&P 500,Feb 2007,1106.73
S&P 500,Mar 2007,1147.39
S&P 500,Apr 2007,1076.92
S&P 500,May 2007,1067.14
S&P 500,Jun 2007,989.82
S&P 500,Jul 2007,911.62
S&P 500,Aug 2007,916.07
S&P 500,Sep 2007,815.28
S&P 500,Oct 2007,885.76
S&P 500,Nov 2007,936.31
S&P 500,Dec 2007,879.82
S&P 500,Jan 2008,855.7
S&P 500,Feb 2008,841.15
S&P 500,Mar 2008,848.18
S&P 500,Apr 2008,916.92
S&P 500,May 2008,963.59
S&P 500,Jun 2008,974.5
S&P 500,Jul 2008,990.31
S&P 500,Aug 2008,1008.01
S&P 500,Sep 2008,995.97
S&P 500,Oct 2008,1050.71
S&P 500,Nov 2008,1058.2
S&P 500,Dec 2008,1111.92
S&P 500,Jan 2009,1131.13
S&P 500,Feb 2009,1144.94
S&P 500,Mar 2009,1126.21
S&P 500,Apr 2009,1107.3
S&P 500,May 2009,1120.68
S&P 500,Jun 2009,1140.84
S&P 500,Jul 2009,1101.72
S&P 500,Aug 2009,1104.24
S&P 500,Sep 2009,1114.58
S&P 500,Oct 2009,1130.2
S&P 500,Nov 2009,1173.82
S&P 500,Dec 2009,1211.92
S&P 500,Jan 2010,1181.27
S&P 500,Feb 2010,1203.6
S&P 500,Mar 2010,1180.59
S&P 500,Apr 2010,1156.85
S&P 500,May 2010,1191.5
S&P 500,Jun 2010,1191.33
S&P 500,Jul 2010,1234.18
S&P 500,Aug 2010,1220.33
S&P 500,Sep 2010,1228.81
S&P 500,Oct 2010,1207.01
S&P 500,Nov 2010,1249.48
S&P 500,Dec 2010,1248.29
S&P 500,Jan 2011,1280.08
S&P 500,Feb 2011,1280.66
S&P 500,Mar 2011,1294.87
S&P 500,Apr 2011,1310.61
S&P 500,May 2011,1270.09
S&P 500,Jun 2011,1270.2
S&P 500,Jul 2011,1276.66
S&P 500,Aug 2011,1303.82
S&P 500,Sep 2011,1335.85
S&P 500,Oct 2011,1377.94
S&P 500,Nov 2011,1400.63
S&P 500,Dec 2011,1418.3
S&P 500,Jan 2012,1438.24
S&P 500,Feb 2012,1406.82
S&P 500,Mar 2012,1420.86
S&P 500,Apr 2012,1482.37
S&P 500,May 2012,1530.62
S&P 500,Jun 2012,1503.35
S&P 500,Jul 2012,1455.27
S&P 500,Aug 2012,1473.99
S&P 500,Sep 2012,1526.75
S&P 500,Oct 2012,1549.38
S&P 500,Nov 2012,1481.14
S&P 500,Dec 2012,1468.36
S&P 500,Jan 2013,1378.55
S&P 500,Feb 2013,1330.63
S&P 500,Mar 2013,1322.7
S&P 500,Apr 2013,1385.59
S&P 500,May 2013,1400.38
S&P 500,Jun 2013,1280
S&P 500,Jul 2013,1267.38
S&P 500,Aug 2013,1282.83
S&P 500,Sep 2013,1166.36
S&P 500,Oct 2013,968.75
S&P 500,Nov 2013,896.24
S&P 500,Dec 2013,903.25
S&P 500,Jan 2014,825.88
S&P 500,Feb 2014,735.09
S&P 500,Mar 2014,797.87
S&P 500,Apr 2014,872.81
S&P 500,May 2014,919.14
S&P 500,Jun 2014,919.32
S&P 500,Jul 2014,987.48
S&P 500,Aug 2014,1020.62
S&P 500,Sep 2014,1057.08
S&P 500,Oct 2014,1036.19
S&P 500,Nov 2014,1095.63
S&P 500,Dec 2014,1115.1
S&P 500,Jan 2015,1073.87
S&P 500,Feb 2015,1104.49
S&P 500,Mar 2015,1140.45
MSFT,Jan 2005,39.81
MSFT,Feb 2005,36.35
MSFT,Mar 2005,43.22
MSFT,Apr 2005,28.37
MSFT,May 2005,25.45
MSFT,Jun 2005,32.54
MSFT,Jul 2005,28.4
MSFT,Aug 2005,28.4
MSFT,Sep 2005,24.53
MSFT,Oct 2005,28.02
MSFT,Nov 2005,23.34
MSFT,Dec 2005,17.65
MSFT,Jan 2006,24.84
MSFT,Feb 2006,24
MSFT,Mar 2006,22.25
MSFT,Apr 2006,27.56
MSFT,May 2006,28.14
MSFT,Jun 2006,29.7
MSFT,Jul 2006,26.93
MSFT,Aug 2006,23.21
MSFT,Sep 2006,20.82
MSFT,Oct 2006,23.65
MSFT,Nov 2006,26.12
MSFT,Dec 2006,26.95
MSFT,Jan 2007,25.92
MSFT,Feb 2007,23.73
MSFT,Mar 2007,24.53
MSFT,Apr 2007,21.26
MSFT,May 2007,20.71
MSFT,Jun 2007,22.25
MSFT,Jul 2007,19.52
MSFT,Aug 2007,19.97
MSFT,Sep 2007,17.79
MSFT,Oct 2007,21.75
MSFT,Nov 2007,23.46
MSFT,Dec 2007,21.03
MSFT,Jan 2008,19.31
MSFT,Feb 2008,19.34
MSFT,Mar 2008,19.76
MSFT,Apr 2008,20.87
MSFT,May 2008,20.09
MSFT,Jun 2008,20.93
MSFT,Jul 2008,21.56
MSFT,Aug 2008,21.65
MSFT,Sep 2008,22.69
MSFT,Oct 2008,21.45
MSFT,Nov 2008,21.1
MSFT,Dec 2008,22.46
MSFT,Jan 2009,22.69
MSFT,Feb 2009,21.77
MSFT,Mar 2009,20.46
